iata,icao,airline
,DCO,David Crawshaw Consultants Limited
,DWN,Dawn Air
,DJS,DayJet
,DAY,Daya Aviation
,DHC,De Havilland
,IAY,Deadalos Flugtbetriebs
,DAA,Decatur Aviation
,DKN,Deccan Charters
,JDC,Deere & Company
,DWR,Delaware Skyways
,DEA,Delta Aerotaxi
,SNO,Delta Air Charter
,ELJ,Delta Private Jets
DL,DAL,Delta Air Lines
,KMB,Delta Engineering Aviation
,DLI,Delta Express International
,DSU,Delta State University
J7,DNM,Denim Air
,FEC,Denver Express
,FGC,Departament d'Agricultura de la Generalitat de Catalunya
,DRY,Deraya Air Taxi
,DRX,Des R Cargo Express
,MIZ,Desarrollo Milaz
,DTY,Destiny Air Services
1I,AMB,Deutsche Rettungsflugwacht
,LFO,Deutsches Zentrum fur Luft-und Raumfahrt EV
,DIS,Di Air
,SPK,Diamond Aviation
,DRB,Didier Rousset Buy
,DGT,Digital Equipment Corporation
,DIP,Diplomatic Freight Services
,ENA,Dirección General de Aviación Civil y Telecomunicasciones
,DIA,Direct Air
,XAP,Direct Air trading as Midway Connection
,DCT,Direct Flight
,SXP,Direct Fly
AW,DIR,Dirgantara Air Service
,DCV,Discover Air
DH,DVA,Discovery Airways
,XDS,Dispatch Services
,DIX,Dix Aviation
,DEE,Dixie Airways
Z6,UDN,Dniproavia
,FDN,Dolphin Air
,IXX,Dolphin Express Airlines
,DPL,Dome Petroleum
YU,ADM,Dominair
,MYO,Dominguez Toledo (Grupo Mayoral)
DO,DOA,Dominicana de Aviación
E3,DMO,Domodedovo Airlines
,DVB,Don Avia
,DON,Donair Flying Club
D9,DNV,Donavia
5D,UDC,DonbassAero
DZ,EPA,Donghai Airlines
,DAD,Dorado Air
,DOR,Dornier
,DAV,Dornier Aviation Nigeria
,DOM,Dos Mundos
,DCA,Dreamcatcher Airways
KB,DRK,Druk Air
,DRE,Drummond Island Air
,DUB,Dubai Airwing
,DBK,Dubrovnik Air
,DUK,Ducair
,DBJ,Duchess of Brittany (Jersey) Limited
,LPD,UK Royal/HRH Duke of York
,DUN,Dun'Air
,PHD,Duncan Aviation
,VVF,Dunyaya Bakis Hava Tasimaciligi
,DUO,Duo Airways
,DJE,Durango Jet
,DNL,Dutch Antilles Express
,DCE,Dutch Caribbean Express
,DBR,Dutchbird
,DFS,Dwyer Aircraft Services
,XDY,Dynair Services
,DNR,Dynamair Aviation
,DYE,Dynamic Air
,DYA,Dynamic Airways
DI,BAG,Dba
HO,DKH,Juneyao Air
,EAV,Eagle Airlines Luftverkehrsges
,ISL,Eastland Air Services (Flugfélag Austurlands)
,EBF,Echo Airlines
MQ,ENY,Envoy Air
,ENK,Executive Airlink
EL,ELB,Ellinair
,ELN,Eleron Aviation Company
,ECC,Eclair Aviation
,ELU,Egyptian Leisure Airlines
9E,EDV,Endeavor Air
,MNU,Elite Airways
,EHD,E H Darby Aviation
,EXW,Executive Airlines Services
,EFS,EFAOS- Agencia De Viagens e Turismo
,EFD,Eisele Flugdienst
,FSD,EFS-Flugservice
,EIS,EIS Aircraft
,IAG,EPAG
,ESI,ESI Eliservizi Italiani
,EUY,EU Airways
VE,EUJ,EUjet
,ICR,Eagle Aero
,FEI,Eagle Air
,EGR,Eagle Air
,EFL,Eagle Air
H7,EGU,Eagle Air
NZ,EAG,Eagle Airways
,EGX,Eagle Air Company
,GYP,Eagle Aviation
,EGN,Eagle Aviation France
,EES,Eagle Express
9A,EZX,Eagle Express Air Charter
,SEG,Eagle International
,EGJ,Eagle Jet Charter
,EMD,Eaglemed (Ballard Aviation)
,ERX,Earth Airlines Services
S9,HSA,East African Safari Air
,EXZ,East African Safari Air Express
E3,EMU,East Asia Airlines
,ECT,East Coast Airways
,ECJ,East Coast Jets
,EHA,East Hampton Aire
,EKC,East Kansas City Aviation
,CTK,East Midlands Helicopters
,DXH,East Star Airlines
,EWA,East-West Airlines
ZE,ESR,Eastar Jet
,EAZ,Eastern Air
,EAX,Eastern Air Executive
EA,EAL,Eastern Air Lines
T3,EZE,Eastern Airways
QF,EAQ,Eastern Australia Airlines
,ECI,Eastern Carolina Aviation
,GNS,Eastern Executive Air Charter
,LIS,Eastern Express
,EME,Eastern Metro Express
,EPB,Eastern Pacific Aviation
,ESJ,Eastern SkyJets
DK,ELA,Eastland Air
W9,SGR,Eastwind Airlines
,FYE,Easy Link Aviation Services
EC,EJU,easyJet Europe
DS,EZS,easyJet Switzerland
U2,EZY,easyJet UK
,CMN,Eckles Aircraft
,EJT,Eclipse Aviation
,ECQ,Eco Air
,DEI,Ecoair
,NAK,École Nationale de l'Aviation Civile
,ECX,Ecomex Air Cargo
,ECD,Ecotour
,XCC,Ecoturistica de Xcalak
,ECV,Ecuatoguineana De Aviación (EGA)
,EQC,Ecuatorial Cargo
,ECU,Ecuavia
WK,EDW,Edelweiss Air
,SLO,Edgartown Air
,EDC,Air Charter Scotland
,EDJ,Edwards Jet Center of Montana
,EIJ,Efata Papua Airlines
,EUW,EFS European Flight Service
MS,MSR,Egyptair
,MSX,Egyptair Cargo
,EGY,Egyptian Air Force
,EJX,Egyptian Aviation
,EMA,Egyptian Aviation Company
,EIX,Ei Air Exports
,EIR,Eirjet
LY,ELY,El Al Israel Airlines
,CMX,El Caminante Taxi Aéreo
,GLQ,El Quilada International Aviation
,ELS,El Sal Air
,ESC,El Sol De América
UZ,BRQ,El-Buraq Air Transport
,ELX,Elan Express
,NLK,Elbrus-Avia Air Enterprise
,DND,Eldinder Aviation
,PDV,Elicar
,EDO,Elidolomiti
,EFG,Elifriulia
,ELH,Elilario Italia
,EOA,Elilombarda
,MEE,Elimediterranea
,VUL,Elios
,IEP,Elipiu'
,RSA,Elisra Airlines
,EAI,Elite Air
,EJD,Elite Jets
,FGS,Elitellina
,ELT,Elliott Aviation
,MGG,Elmagal Aviation Services
,ELR,Elrom Aviation and Investments
,EAM,Embassy Airlines
,EFT,Embassy Freight Company
,EMB,Empresa Brasileira De Aeronáutica
,XSL,Embry-Riddle Aeronautical University
,JEM,Emerald Airways
,EWW,Emery Worldwide Airlines
,EMT,Emetebe
EK,UAE,Emirates Airlines
,SBC,Emoyeni Air Charter
,EMP,Empire Air Service
EM,CFS,Empire Airlines
,MPR,Empire Aviation Services
,ETP,Empire Test Pilots' School
,AUO,"Empresa (Aero Uruguay), S.A."
,PRG,Empresa Aero-Servicios Parrague
,VNA,Empresa Aviación Interamericana
EU,EEA,Empresa Ecuatoriana De Aviación
,CNI,Empresa Nacional De Servicios Aéreos
,VNE,Empresa Venezolana
,GTV,Empresa de Aviación Aerogaviota
,XLT,Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero
,ENC,Endecots
,ENI,Enimex
,EGV,Enrique Gleisner Vivanco
,ESE,Ensenada Vuelos Especiales
,ENS,Entergy Services
,EWS,Enterprise World Airways
E0,ESS,Eos Airlines
,EKA,Equaflight Service
,EQZ,Equatair Air Services (Zambia)
,EQT,Equatorial Airlines
,ERH,Era Helicopters
,IRY,Eram Air
,ERF,Erfoto
,ERE,Erie Airways
B8,ERT,Eritrean Airlines
,EAD,Escola De Aviacao Aerocondor
,CTV,Escuela De Pilotos Are Aviación
,EPC,Espace Aviation Services
E7,ESF,Estafeta Carga Aérea
,EEF,Estonian Air Force
OV,ELL,Estonian Air
,ETA,Estrellas Del Aire
ET,ETH,Ethiopian Airlines
,MJM,Eti 2000
EY,ETD,Etihad Airways
,ETM,Etram Air Wing
,EVN,Euraviation
,ECN,Euro Continental AIE
,ESN,Euro Sun
,EAK,Euro-Asia Air
,KZE,Euro-Asia Air International
MM,MMZ,EuroAtlantic Airways
M9,SEB,Euroavia Airlines
,GOJ,EuroJet Aviation
,EUP,Pan Europeenne Air Service
,EUU,Euroamerican Air
,ECY,Euroceltic Airways
,EUC,Eurocontrol
,ECF,Eurocopter
UI,ECA,Eurocypria Airlines
GJ,EEZ,Eurofly
,EEU,Eurofly Service
,EUG,Euroguineana de Aviación
,ERJ,Eurojet Italia
,JLN,Eurojet Limited
,RDP,Eurojet Romania
,EJS,Eurojet Servis
K2,ELO,Eurolot
3W,EMX,Euromanx Airways
,GED,Europe Air Lines
5O,FPO,Europe Airpost
,EUT,European 2000 Airlines
QY,BCS,European Air Transport
E7,EAF,European Aviation Air Charter
,EBJ,European Business Jets
,ECB,European Coastal Airlines
,ETV,European Executive
,EXC,European Executive Express
,EBG,Eurosense
,ESX,Euroskylink
EW,EWG,Eurowings
4Y,OCN,Eurowings Discover
E6,EWL,Eurowings Europe
BR,EVA,EVA Air
,EVK,Everett Aviation
,EVT,Everett Limited
EZ,EIA,Evergreen International Airlines
,VTS,Everts Air Alaska/Everts Air Cargo
,EVL,Evolem Aviation
ZD,EWR,Ewa Air
,EMN,Examiner Training Agency
JN,XLA,Excel Airways
,XEL,Excel Charter
,GZA,Excellent Air
MB,EXA,Execair Aviation
,VCN,Execujet Charter
,EJO,Execujet Middle East
,VMP,Execujet Scandinavia
,LFL,Executive Air
,EAC,Executive Air Charter
,XAF,Executive Air Fleet
,ECS,Executive Aircraft Charter and Charter Services
,XAH,Executive Aircraft Services
OW,EXK,Executive Airlines
,EXU,Executive Airlines
,JTR,Executive Aviation Services
,EXE,Executive Flight
,TRI,Executive Flight Operations Ontario Government
,EXJ,Executive Jet Charter
,EJM,Executive Jet Management
,TEA,Executive Turbine Aviation
,EXF,Eximflight
,EXN,Exin
,EXR,Expertos En Carga
,FXA,Express Air
,EIC,Express International Cargo
,XPL,Express Line Aircompany
,XNA,Express Net Airlines
EO,LHN,Express One International
,XTO,Express Tours
,LTD,Executive Express Aviation/JA Air Charter
,XSR,Executive Flight Services
,EPR,Express Airways
,XRO,ExxAero
,JTM,Exxavia Limited
,EZJ,Ezjet GT
8K,EVS,Exploits Valley Air Services
,FRX,Fort Aero
,PBR,Fast Air
,SRE,Fly Jetstream Aviation
,FTZ,Fastjet
,FAP,F Air
,FFL,ForeFlight
,EYE,F.S. Air Service
,IFA,FAI Air Service
,FLC,FINFO Flight Inspection Aircraft
,FKI,FLM Aviation Mohrdieck
,DCM,FLTPLAN (anonymized service)
,FLW,FLowair Aviation
,FMG,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt
,FRA,FR Aviation
,FSB,FSB Flugservice & Development
,LEJ,FSH Luftfahrtunternehmen
,FBA,Fab Air
,FCS,Facts Air
,FAV,Fair Aviation
,FWD,Fair Wind Air Charter
,FLS,Fairlines
,FFC,Fairoaks Flight Centre
,FWY,Fairways Corporation
,FCN,Falcon Air
,FAR,Falcon Air
,FAO,Falcon Air Express
,FAU,Falcon Airline
,FBU,French Bee
,FVS,Falcon Aviation Services
,FJC,Falcon Jet Centre
,FAW,Falwell Aviation
FE,FEA,Far Eastern Air Transport
,FDL,Farmingdale State University
,FAH,Farnair Hungary
,FRN,Farnair Netherlands
,FAT,ASL Airlines Switzerland
,RAF,Farnas Aviation Services
,HBL,Faroecopter
F6,RCK,FaroeJet
,FRW,Farwest Airlines
F3,FSW,Faso Airways
,FHL,Fast Helicopters
,FAY,Fayban Air Services
,SKM,Fayetteville Flying Service and Scheduled Skyways System
,FDR,Federal Air
,FLL,Federal Airlines
,DCN,Federal Armed Forces
,FRM,Federal Armored Service
,NHK,Federal Aviation Administration
FX,FDX,FedEx Express
,FNK,Feniks Airline
,FER,Feria Aviación
N8,HGK,Fika Salaama Airlines
4S,FNC,Finalair Congo
,FAK,Financial Airxpress
,FBF,Fine Airlines
,FTR,Finist'air
AY,FIN,Finnair
FC,WBA,Finncomm Airlines
,FNF,Finnish Air Force
,FIH,FinnHEMS
FY,FFM,Firefly
7F,FAB,First Air
,JRF,First Air Transport
,FCC,First Cambodia Airlines
,FCA,Fly-Coop Air Service
,MBL,First City Air
,GGA,First Flying Squadron
,FIR,First Line Air
,FTS,First Sabre
8F,FFR,Fischer Air
,FFP,Fischer Air Polska
8D,EXV,FitsAir
,FSX,Flagship Express Services
F8,FLE,Flair Airlines
,WAF,Flamenco Airways
,FMR,Flamingo Air
,FLN,Flamingo Air-Line
,FSH,Flash Airlines
,BWY,Fleet Requirements Air Direction Unit
,FLR,Fleetair
,FXY,Flexair
,FXT,Flexflight
,TUD,Flight Alaska
,FCK,FCS Flight Calibration Services
,VOR,Flight Calibration Services Ltd.
,FCV,Flight Centre Victoria
,FCP,Nelson Aviation College Ltd
,FDP,Flight Dispatch Services
,FLX,"Flight Express, Inc."
,CFI,Flight Inspection Center of the General Administration of Civil Aviation in China
,LTS,Flight Inspections and Systems
,IVJ,Flight International
,MIT,Flight Line
,FOI,Flight Ops International
,OPT,Flight Options
,CLB,Flight Precision Limited
,FSL,Flight Safety Limited
,FSU,Flight Support Sweden
,CCK,Flight Trac
,AYR,Flight Training Europe
,FWQ,Flight West Airlines
,KLO,Flight-Ops International
,CSK,Flightcraft
,FEX,Flightexec
B5,FLT,Flightline
,FTL,Flightline
,FPS,Flightpass Limited
,FSR,Flightstar Corporation
,KDZ,Flightworks
,FAZ,Flint Aviation Services
,KWX,Florida Aerocharter
,OJY,Florida Air
,FAS,Florida Air Cargo
PA,FCL,Florida Coastal Airlines
,FFS,Florida Department of Agriculture
,FJS,Florida Jet Service
RF,FWL,Florida West International Airways
,FFG,Flugdienst Fehlhaber
,FLU,Flugschule Basel
,EZB,Flugschule Eichenberger
,FWZ,Flugwerkzeuge Aviation Software
,VNX,Fly Advance
F2,FLM,Fly Air
8W,EDR,Fly All Ways
,FCT,Fly CI Limited
,FEE,Fly Europa Limited
,FXL,Fly Excellent
9Y,FGE,Fly Georgia
,NVJ,Fly International Airways
OJ,FJM,Fly Jamaica Airways
9P,FJL,Fly Jinnah
,FIL,Fly Line
SH,FLY,Fly Me Sweden
FP,PVV[23],Fly Pro
,FRB,Fly Rak
F6,VAW,Fly2Sky
,FYA,Flyant
D7,XFA,FlyAsianXpress
F7,BBO,Flybaboo
BE,BEE,Flybe
FO,FBZ,Flybondi
,FCE,Flycolumbia
FT,FEG,FlyEgypt
,GVG,Flygaktiebolaget Gota Vingar
Y2,GSM,Flyglobespan
,FPA,Flygprestanda
SX,TOR,FlyGTA Airlines
,ETS,Flygtransporter I Nykoping
,INU,Flyguppdraget Backamo
W3,FYH,Flyhy Cargo Airlines
,FCR,Flying Carpet Company
,FYG,Flying Service
,FGP,Flying-Research Aerogeophysical Center
TE,LIL,FlyLal
,FLK,Flylink Express
XY,KNE,Flynas
LF,NDC,FlyNordic
FP,FRE,FlyPelican
FS,FOX,Flyr
,FTM,Flyteam Aviation
VK,FVK,FlyViking
,FMI,FMI Air
,FKS,Focus Air
,FOP,Fokker
,NOF,Fonnafly
,FOB,Ford Motor Company
,FOR,Formula One Management
,FHS,Forth and Clyde Helicopter Services
,FXC,Fortunair Canada
,FSA,Foster Aviation
,JFY,Foster Yeoman
,FTE,Fotografia F3
5F,FIA,FlyOne
3F,FIE,FlyOne Armenia
HK,FSC,Four Star Aviation / Four Star Cargo
,WDS,Four Winds Aviation
,FXR,Foxair
,FDO,France Douanes
FH,FHY,Freebird Airlines
SJ,FOM,Freedom Air
,FFF,Freedom Air Services
,FRL,Freedom Airlines
,FWC,Freeway Air
,FRG,Freight Runners Express
,FAF,Force Aerienne Francaise
,FMY,Aviation Legere De L'Armee De Terre
,FNY,France Marine Nationale
,FRR,Fresh Air
,BZY,Fresh Air Aviation
,FAE,Freshaer
,FAL,Friendship Air Alaska
,FLF,Friendship Airlines
,FGY,Froggy Corporate Aviation
F9,FFT,Frontier Airlines
,ITR,Frontier Commuter
2F,FTA,Frontier Flying Service
,FNG,Frontier Guard
,FUJ,Fujairah Aviation Centre
,CFJ,Fujian Airlines
,GAX,Full Express
,FAM,Fumigación Aérea Andaluza
,FFY,Fun Flying Thai Air Service
,ROG,FundaciÃ³ Rego
,FUN,Funtshi Aviation Service
,FGL,Futura Gael
FH,FUA,Futura International Airways
FZ,FDB,Flydubai
,FWK,Flightworks
,ACT,Flight Line
,FRF,Fleet Air International
,FUM,Fuxion Line Mexico
,FWR,FlightAware
,GML,G & L Aviation
,DBC,Gemini Air Group
,GOP,Gospa Air
,HGT,GMJ Air Shuttle
,GMQ,Germania Express
,KNM,GB Helicopters
,GCW,Global Air Crew
,GBH,Global Avia Handling
Y5,GMR,Golden Myanmar Airlines
,EXH,G5 Executive
,MTA,GAK/Mitchell Aero
,GGS,GATSA
,GBX,GB Airlink
GT,GBL,GB Airways
,GCS,GCS Air Service
,FFU,GEC Marconi Avionics
,GCC,GECAS
,GEN,GENSA
,GET,Get High
,GFW,GFW Aviation
,GGT,Trans Island Airways
,GHI,GH Stansted Limited
Z5,GMG,GMG Airlines
,GPE,GP Express Airlines
,GPR,GPM Aeroservicio
,GIB,GR-Avia
,BMK,GST Aero Aircompany
,GTX,GTA Air
,GAH,Ga-Ma Helicoptere
,GBE,Gabon Express
,GRT,Gabon-Air-Transport
,GIG,Gacela Air Cargo
,GFC,Gail Force Express
,GNJ,Gain Jet Aviation
,SWF,Galair International
,GLS,Galaircervis
7O,GAL,Galaxy Air
,GXY,Galaxy Airlines
,GAS,Galena Air Service
,GMA,Gama Aviation
,GCH,Gama Aviation Switzerland
GC,GNR,Gambia International Airlines
,NML,Gambia New Millennium Air
,GMJ,Gamisa Aviación
G7,GNF,Gandalf Airlines
,GAN,Gander Aviation
,GSA,Garden State Airlines
,AHM,Garrison Aviation
GA,GIA,Garuda Indonesia
,GHS,Gatari Hutama Air Services
,EGO,Gauteng Air Cargo
,GVN,Gavina
4G,GZP,Gazpromavia
,GEE,Geesair
,GLX,Gelix Airlines
GR,GCO,Gemini Air Cargo
,GAB,Gendall Air
,GDB,Gendarmerie Belge
,FGN,National Gendarmerie
,SWK,General Aerospace
,GWS,General Airways
,GNZ,General Aviation
,GTH,General Aviation Flying Services
,XGA,General Aviation Terminal
,GMC,General Motors
,GNX,Genex
,GSL,Geographic Air Surveys
A9,TGZ,Georgian Airways
,FGA,Georgian Aviation Federation
,GGF,Georgian Cargo Airlines Africa
QB,GFG,Georgian National Airlines
,GAF,German Air Force
,GAM,German Army
,GNY,German Navy
HE,LGW,German Airways
,GHY,German Sky Airlines
ST,GMI,Germania
4U,GWI,Germanwings
,GDN,Gerry's Dnata
,GFD,Gesellschaft Fur Flugzieldarstellung
GP,RIV,APG Airlines
,GES,Gestair
,GTR,Gestar
,GJT,Gestión Aérea Ejecutiva
,GHT,Ghadames Air Transport
GH,GLP,Globus Airlines
GH,GHA,Ghana Airways
G0,GHB,Ghana International Airlines
,NTC,Gibson Aviation
,RPS,Global Air Charter
,GAG,Greybird Pilot Academy
,DMJ,Global Air
,GBS,Global Air Services Nigeria
,GLC,Global Aircargo
,BSP,Global Airways (BSP)
,GLB,Global Airways (GLB)
,GBB,Global Aviation Operations
,GAK,Global Aviation and Services Group
,GGZ,Global Georgian Airways
,GLJ,Global Jet Austria
,NSM,Global Jet Corporation
,SVW,Global Jet Luxembourg
,GSK,Global Sky Aircharter
,GSS,Global Supply Systems
,XGS,Global System
,XGW,Global Weather Dynamics
,GLW,Global Wings
,GJA,Globe Jet
,GAC,GlobeAir
6G,RLX,Go2Sky
G8,GOW,GoAir
G7,GJS,GoJet Airlines
,GGE,Gobierno De Guinea Ecuatorial
,GOF,Gof-Air
,GOI,Gofir
G3,GLO,Gol Transportes Aéreos
,GDA,GoldAir
,GDK,Goldeck-Flug
DC,GAO,Golden Air
,GDD,Golden Airlines
,GPA,Golden Pacific Airlines
,GRS,Golden Rule Airlines
,GLD,Golden Star Air Cargo
,GOS,Goldfields Air Services
,GAQ,Golfe Air Quebec
,GLE,Goliaf Air
,GOM,Gomel Airlines
5Z,GON,Gonini Air Services
,RDR,Goodridge (UK) Limited
,GOR,Gorlitsa Airlines
,HKG,Government Flying Service
,GRZ,Government of Zambia Communications Flight
,HLD,Grampian Flight Centre
,GAV,Granada Aviación
,GAE,Grand Aire Express
,GND,Grand Airways
,CVU,Grand Canyon Airlines
GV,GUN,Grant Aviation
,LMK,Grantex Aviation
,GRA,Great American Airways
ZK,GLA,Great Lakes Airlines
,GLU,Great Lakes Airways (Uganda)
,GRP,Great Plains Airlines
IJ,GWL,Great Wall Airlines
,GWA,Great Western Air
HB,HGB,Greater Bay Airlines
,HNA,Greek Navy
,GFF,Griffin Aviation
,GXA,Grixona
,GZD,Grizodubova Air Company
,HTG,Grossmann Air Service
,GSJ,Grossmann Jet Service
,GHV,Ground Handling Service de Mexico
,GPM,Grup Air-Med
,EJC,Grupo De Aviación Ejecutiva
,TAT,Grupo TACA
,VMM,Grupo Vuelos Mediterraneo
,GMT,Grupo Aéreo Monterrey
,GSY,Guard Systems
G6,BSR,Guine Bissaur Airlines
,GIJ,Guinea Airways
,GNC,Guinea Cargo
J9,GIF,Guinee Airlines
,GEA,Guinea Ecuatorial Airlines
,GIQ,Guinee Paramount Airlines
,CGH,Guizhou Airlines
,GUS,Guja
G8,GUJ,Gujarat Airways
,TSU,Gulf & Caribbean Cargo / Contract Air Cargo
,GUF,Gulf African Airlines
GF,GFA,Gulf Air
,GAT,Gulf Air Inc
,GCN,Gulf Central Airlines
,SFY,Gulf Flite Center
,GPC,Gulf Pearl Air Lines
,GLF,Gulfstream Aerospace
,GFS,Gulfstream Airlines
,GFT,Gulfstream International Airlines
,GUL,Gull Air
,GUM,Gum Air
,GDH,Guneydogu Havacilik Isletmesi
,GWN,Gwyn Aviation
,AHT,HTA Helicopteros
,ETI,H-Bird Aviation Services AB
,HSN,"H.S.AVIATION CO., LTD."
,HAY,Hamburg Airways
,HCK,Heli-Charter
,HTB,Helix-Craft Aviation
,HAF,Hellenic Air Force
,HRN,Heron Luftfahrt
,HYP,Hyperion Aviation
,HFM,Hi Fly Malta
A5,HOP,Hop!
,HLA,HC Airlines
,HWD,HPM Investments
,KTR,HT Helikoptertransport
,FMS,Hadison Aviation
H6,HAG,Hageland Aviation Services
,POW,Hagondale Limited
HR,HHN,Hahn Air
HU,CHH,Hainan Airlines
,HLS,Haiti Air Freight
2T,HAM,Haiti Ambassador Airlines
,HTI,Haiti International Air
,HRB,Haiti International Airline
,HNR,Haiti National Airlines (HANA)
,HTN,Haiti North Airline
,HTC,Haiti Trans Air
,HBC,Haitian Aviation Line
,HAJ,Hajvairy Airlines
,HKL,Hak Air
,HLH,Hala Air
,HCV,Halcyonair
4R,HHI,Hamburg International
,HJL,Hamlin Jet
,HMM,Hamra Air
,WVA,Hand D Aviation
,HGR,Hangar 8
,HGD,Hangard Aviation
,HAN,Hansung Airlines
X3,HLX,Hapag-Lloyd Express
HF,HLF,Hapagfly
HB,HAR,Harbor Airlines
HQ,HMY,Harmony Airways
,NBR,Haughey Air
,PYN,Haverfordwest Air Charter Services
,HAV,Havilah Air Services
HA,HAL,Hawaiian Airlines
,HKR,Hawk Air
,HMX,Hawk De Mexico
,HKI,Hawkaire
,HZL,Hazelton Airlines
HN,HVY,Heavylift Cargo Airlines
,HVL,Heavylift International
NS,HBH,Hebei Airlines
,HDC,Helcopteros De Cataluna
,HCB,Helenair (Barbados)
,HCL,Helenair Corporation
,HHP,Helenia Helicopter Service
,HLR,Heli Air Services
,ALJ,Heli Ambulance Team
,HEB,Heli Bernina
,HFR,Heli France
,HYH,Heli Hungary
,HLM,Heli Medwest De Mexico
,HLI,Heli Securite
,HTP,Heli Trip
,HLU,Heli Union Heli Prestations
,MCM,Heli-Air-Monaco
,HHE,Heli-Holland
,HRA,Heli-Iberica
,HIF,Heli-Iberica Fotogrametria
,HIG,Heli-Inter Guyane
,HLK,Heli-Link
,HMC,Heliamerica De Mexico
,HEA,Heliavia-Transporte Aéreo
,CDY,Heliaviation Limited
,HIB,Helibravo Aviacao
,HLC,Helicap
,COV,Helicentre Coventry
,HEL,Helicol
,HCP,Helicopter
,JKY,Helicopter & Aviation Services
,MVK,Helicopter Training & Hire
,HAP,Helicopteros Aero Personal
,HAA,Helicopteros Agroforestal
,HNT,Helicopteros Internacionales
,HEN,Helicópteros Y Vehículos Nacionales Aéreos
,HHH,Helicsa
JB,JBA,Helijet
,HDR,Helikopterdrift
,SCO,Helikopterservice Euro Air
,OCE,Heliocean
ZU,HCY,Helios Airways
,HLP,Helipistas
,HPL,Heliportugal
,HEC,Heliservicio Campeche
,HSU,Helisul
,HSI,Heliswiss
,HLT,Helitafe
,HIT,Helitalia
,OFA,Helitaxi Ofavi
9I,HTA,Helitrans
,HTS,Helitrans Air Service
,HLW,Heliworks
HJ,HEJ,Hellas Jet
HW,FHE,Hello
,HLG,Helog
2L,OAW,Helvetic Airways
,HMS,Hemus Air
,HAC,Henebury Aviation
,SSH,Heritage Flight (Valley Air Services)
,MRX,Herman's Markair Express
,HED,Heritage Aviation Developments
UD,HER,Hex'Air
,HHS,Hi-Jet Helicopter Services
5K,HFY,Hi Fly
,HLB,High-Line Airways
,HWY,Highland Airways
H9,HIM,Himalaya Airlines
H7,HYM,HiSky
H4,HYS,HiSky Europe
,HSH,Hispánica de Aviación
,HIS,Hispaniola Airways
VM,VMS,His Majesty King Maha Vajiralongkorn
,HGA,Hogan Air
,NTH,Hokkaido Air System
,ABH,Hokuriki-Koukuu Company
H5,HOA,Hola Airlines
,HIN,Holding International Group
,HOL,Holiday Airlines (US Airline)
HC,HCC,Holidays Czech Airlines
,HTR,Holstenair Lubeck
,HMV,Homac Aviation
,HAS,Honduras Airlines
HX,CRK,Hong Kong Airlines
RH,HKC,Hong Kong Air Cargo
UO,HKE,Hong Kong Express Airways
A6,HTU,Hongtu Airlines
,HEX,Honiara Cargo Express
,HPJ,Hop-A-Jet
QX,QXE,Horizon Air
,KOK,Horizon Air Service
,HSM,Horizon Air for Transport and Training
,HOR,Horizon Air-Taxi
BN,HZA,Horizon Airlines
,HPS,Horizon Plus
,HUD,Horizons Unlimited
,HOZ,Horizontes Aéreos
,HDI,Hoteles Dinamicos
,HHO,Houston Helicopters
,GGV,Houston Jet Services
,OZU,Hozu-Avia
,HUB,Hub Airlines
,HUS,Huessler Air Service
,GMH,Hughes Aircraft Company
HJ,USW,HumoAir
,HUV,Hunair Hungarian Airlines
,HUF,Hungarian Air Force
HW,UBD,FlyErbil
,HYA,Hyack Air
,HYC,Hydro Air Flight Operations
,HYD,Hydro-Québec
,HKB,Hawker Beechcraft
MR,MML,Hunnu Air
,RPX,HD Air Ltd
,SRD,HM Coastguard
,SRG,HM Coastguard
,WHR,Hummingbird Helicopter Service
,IWL,Island Wings
IK,KAR,Ikar
,ICN,Iconair
,IAC,INTERCHARTER
,ITC,International Air Carrier Association
,IDG,IDG Technology Air
,IFL,IFL Group
,RDE,II Lione Alato Arl
,IJM,IJM International Jet Management
,IKK,IKI International Airlines
,IKN,IKON FTO
,BLU,IMP Aviation Services
,XGG,IMP Group Aviation Services
,IPA,IPEC Aviation
,IPM,IPM Europe
,LVB,IRS Airlines
,ISD,ISD Avia
,FDF,IVV Femida
IB,IBE,Iberia Airlines
II,CSQ,IBC Airways
I2,IBS,Iberia Express
,IBR,Ibertour Servicios Aéreos
,IBT,Ibertrans Aérea
TY,IWD,Iberworld
FW,IBX,Ibex Airlines
,IBC,Ibicenca Air
,AKI,Ibk-Petra
0C,IBL,IBL Aviation
,BBL,IBM Euroflight Operations
,YYY,ICAO
C3,IPR,Independent Carrier (ICAR)
,ICA,Icaro
,ICD,Icaro Air
,IUS,Icarus
,CIC,ICC Canada
,ICJ,Icejet
FI,ICE,Icelandair
,ICG,Icelandic Coast Guard
,RAC,Icar Air
,FRC,Icare Franche Compte
,IFM,Ifly
,IKR,Ikaros DK
,CIO,Il Ciocco International Travel Service
,ILV,Il-Avia
,IDL,Ildefonso Redriguez
V8,IAR,Iliamna Air Taxi
,ILP,Ilpo Aruba Cargo
,ILL,Ilyich-Avia
,IMR,Imaer
,ITX,Imair Airlines
,IMG,Imperial Cargo Airlines
